Column1;city;time;announcment_num;floor;area;room_count;district;description;discount;price
0;Душанбе;Сегодня 17:50;7765753;2;30 м?;1;Рудаки;Салом алекм Хонаи Фуруши Срочно ??? Дар Нохияи Рудаки (Ленский район);обмен,торг;94000
1;Душанбе;Сегодня 17:50;7577854;6;135 м?;4;И.Сомони,рынокМе?ргон;4-комн. квартира, 6 этаж, 135 м?, И.Сомони рынок Ме?ргон;торг;1400000
2;Вахдат;Сегодня 17:54;4113356;7;53 м?;1;Вахдат;продаётся однокомнатная квартира с возможностью переделка на двухкомнатная квартира в городе Вахдат дом ЁКУТ 2000. квартира без ремонта просьба писать на имо так как сам нахожусь в Москве ЦЕНА без торга без торга;;205000
3;Вахдат;Сегодня 17:49;7752689;8;57 м?;2;вахдат;продаётся однокомнатная квартира с возможностью переделка на двухкомнатная квартира в городе Вахдат дом ЁКУТ 2000. квартира без ремонта просьба писать на имо так как сам нахожусь в Москве ЦЕНА без торга без торга;;205000
4;Душанбе;Сегодня 17:48;7573513;1;80 м?;3;Сино;Хонаи фуруши 3 хонага да нохияи сино . Кучаи каленина 1/4 . Дар наздаш садик , мактаб , 2 супермаркети калон чойгир аст . Хама шароит дорад. Об свет без проблем .;400000c;380000
5;Душанбе;Сегодня 17:42;7382904;7;95 м?;2;Книжныймир,Садбарг;Хонаи фуруши дар райони Садбарг, олами китоб. Аз бари доми олами китоб. Хона дар 3 этаж расидаги. Анчоми кор охири соли 2023. 2 хонага, 95 кв.м. Оинахош даруни двора нигох мекна;;588000
6;Вахдат;Сегодня 17:41;7932037;4;48 м?;2;Ва?дат;Хона 48.кв 4 ум ошёна ру ба руй ?амоми Гагаринай наздики болниса бозорча мактаб садик магазин?ои калон аз ду тарафи дом балкон дора хона?о калон калонай дар?ои ?имат дора ночаспонда фа?ат обой ламинат мекуни тамом илтимос бе?уда занг назанен харидор боши аз пеш муомила мекнем ИншоАлло?;обмен,торг;205000
7;Рогун;Сегодня 17:40;7809254;3;125 м?;3;Рогун;3 комнатная квартира с имуществом 4 этаж дом 36 ш. Рогун;торг;440000
8;Душанбе;Сегодня 17:37;7925241;2;44 м?;2;гипрозем;гипрозем.техпаспорт.канализация.2этаж;торг;280000
9;Худжанд;Сегодня 17:35;7551808;Цокольный;48 м?;1;18мкр;Срочно продаётся однокомнатная квартира в 18мкр .Цокольный(Подвал) Бехуда занг назанитон бисер арзон намешад;130000c;120000
